Designator,Mid X,Mid Y,Rotation,Layer
LED1,16.397,-150.197,0.0,top
LED10,30.097,-122.797,0.0,top
LED100,82.097,-62.597,0.0,top
LED101,43.897,-70.597,0.0,top
LED102,43.915,-64.065,0.0,top
LED103,43.897,-56.497,0.0,top
LED104,43.835,-50.294,180.0,top
LED105,81.797,-58.897,180.0,top
LED106,81.677,-55.838,0.0,top
LED107,81.747,-52.747,0.0,top
LED108,81.667,-49.967,0.0,top
LED109,81.847,-46.947,0.0,top
LED11,32.797,-121.097,180.0,top
LED110,76.847,-43.847,180.0,top
LED111,85.721,-43.781,0.0,top
LED112,81.9495,-38.902,0.0,top
LED113,81.677,-31.866,0.0,top
LED114,82.3495,-28.002,0.0,top
LED115,82.247,-22.947,0.0,top
LED116,82.241,-18.623,0.0,top
LED117,82.247,-13.547,0.0,top
LED118,82.247,-8.447,0.0,top
LED119,82.2495,-3.697,180.0,top
LED12,34.337,-118.825,0.0,top
LED120,90.282,-27.409,180.0,top
LED121,90.097,-31.797,180.0,top
LED122,90.155,-35.597,180.0,top
LED123,90.197,-39.297,180.0,top
LED124,92.897,-44.497,0.0,top
LED125,89.997,-46.597,180.0,top
LED126,95.78,-48.299,180.0,top
LED127,98.597,-51.297,180.0,top
LED128,101.997,-54.597,180.0,top
LED129,105.497,-58.197,180.0,top
LED13,37.235,-116.309,0.0,top
LED130,88.098,-62.605,180.0,top
LED131,96.378,-62.465,180.0,top
LED132,101.827,-62.735,180.0,top
LED133,97.7,-72.831,180.0,top
LED134,103.097,-76.597,180.0,top
LED135,113.548,-76.573,180.0,top
LED136,112.697,-69.197,0.0,top
LED137,112.297,-65.497,180.0,top
LED138,115.597,-67.597,180.0,top
LED139,118.897,-71.597,180.0,top
LED14,44.647,-109.897,0.0,top
LED140,122.997,-75.397,180.0,top
LED141,127.397,-79.097,180.0,top
LED142,123.697,-82.697,0.0,top
LED143,108.813,-78.447,0.0,top
LED144,108.822,-81.347,180.0,top
LED145,106.307,-86.189,180.0,top
LED146,102.685,-92.897,180.0,top
LED147,99.297,-102.597,0.0,top
LED148,95.665,-102.582,0.0,top
LED149,92.847,-105.247,180.0,top
LED15,41.147,-109.947,0.0,top
LED150,93.897,-108.997,180.0,top
LED151,96.947,-109.047,180.0,top
LED152,99.459,-115.097,180.0,top
LED153,99.491,-117.457,180.0,top
LED154,96.997,-123.597,0.0,top
LED155,93.797,-123.497,0.0,top
LED156,96.541,-131.005,180.0,top
LED157,96.497,-134.197,180.0,top
LED158,96.547,-137.047,180.0,top
LED159,96.53,-143.397,180.0,top
LED16,38.597,-104.997,0.0,top
LED160,96.497,-147.297,180.0,top
LED161,96.547,-151.047,180.0,top
LED162,96.394,-154.918,180.0,top
LED163,98.692,-157.073,180.0,top
LED164,90.497,-169.197,180.0,top
LED165,90.447,-177.647,180.0,top
LED166,92.047,-184.747,180.0,top
LED167,95.147,-187.747,180.0,top
LED168,102.8495,-195.302,180.0,top
LED169,123.047,-197.147,180.0,top
LED17,38.597,-102.697,0.0,top
LED170,128.347,-197.047,180.0,top
LED171,134.977,-197.141,180.0,top
LED172,141.397,-194.097,0.0,top
LED173,151.615,-187.138,0.0,top
LED174,151.497,-184.097,0.0,top
LED175,140.097,-187.197,0.0,top
LED176,132.697,-187.197,0.0,top
LED177,124.897,-187.197,0.0,top
LED178,117.6495,-187.202,0.0,top
LED179,103.847,-188.747,0.0,top
LED18,38.597,-100.397,0.0,top
LED180,111.497,-181.197,0.0,top
LED181,115.997,-176.897,0.0,top
LED182,100.497,-172.097,0.0,top
LED183,100.556,-165.397,0.0,top
