"Abbey Road", 532, 
"Abbey Wood", 477, 
"Acton Central", 63, 
"Acton Main Line", 61, 
"Acton Town", 14, 65, 66
"Addington Village", 444, 
"Addiscombe", 448, 
"Aldgate", 339, 
"Aldgate East", 344, 
"All Saints", 418, 
"Alperton", 101, 
"Amersham", 36, 
"Ampere Way", 298, 
"Anerley", 316, 
"Angel", 273, 
"Archway", 373, 
"Arena", 451, 
"Arnos Grove", 390, 
"Arsenal", 365, 
"Avenue Road", 455, 
"Baker Street", 141, 142
"Balham", 188, 
"Bank", 281, 282, 
"Barbican", 0, 
"Barking", 506, 507,
"Barking Riverside", 508, 
"Barkingside", 556, 
"Barons Court", 81, 
"Battersea Power Station", 208, 
"Bayswater", 146, 
"Beckenham Hill", 467, 
"Beckenham Junction", 457, 
"Beckenham Road", 456, 
"Beckton", 481, 
"Beckton Park", 484, 
"Becontree", 510, 
"Beddington Lane", 296, 
"Belgrave Walk", 176, 
"Bellingham", 438, 
"Belsize Park", 251, 
"Bermondsey", 328, 
"Bethnal Green (Central line)", 347, 
"Bethnal Green (Weaver line)", 351, 
"Bickley", 463, 
"Birkbeck", 454, 
"Blackfriars", 284, 
"Blackhorse Lane", 449, 
"Blackhorse Road", 541, 542, 
"Blackwall", 498, 
"Bond Street", 233, 234, 
"Borough", 329, 
"Boston Manor", 11, 
"Bounds Green", 389, 
"Bow Church", 415, 
"Bow Road", 0, 
"Brent Cross", 266, 
"Brent Cross West", 257, 
"Brentwood", 520, 
"Brixton", 192, 
"Brockley", 321, 
"Bromley-by-Bow", 499, 
"Bromley South", 464, 
"Brondesbury", 132, 
"Brondesbury Park", 131, 
"Bruce Grove", 403, 
"Buckhurst Hill", 565, 
"Burnham", 27, 
"Burnt Oak", 260, 
"Bush Hill Park", 399, 
"Bushey", 117, 
"Caledonian Road", 363, 
"Caledonian Road & Barnsbury", 362, 
"Cambridge Heath", 352, 
"Camden Road", 272, 
"Camden Town", 249, 
"Canada Water", 326, 
"Canary Wharf", 422, 423,
"Canning Town", 495, 496,
"Cannon Street", 0, 
"Canonbury", 357, 
"Canons Park", 121, 
"Carpenders Park", 116, 
"Carshalton", 171, 
"Catford", 437, 
"Centrale", 302, 
"Chadwell Heath", 524, 
"Chalfont & Latimer", 38, 
"Chalk Farm", 250, 
"Chancery Lane", 278, 
"Charing Cross", 224, 
"Charlton", 472, 
"Chesham", 37, 
"Cheshunt", 394, 
"Chigwell", 560, 
"Chingford", 543, 
"Chiswick Park", 67, 
"Chorleywood", 39, 
"Church Street", 307, 
"City Thameslink", 279, 
"Clapham Common", 190, 
"Clapham High Street", 203, 
"Clapham Junction", 205, 206
"Clapham North", 191, 
"Clapham South", 189, 
"Clapton", 537, 
"Cockfosters", 393, 
"Colindale", 259, 
"Colliers Wood", 181, 
"Coombe Lane", 442, 
"Coulsdon South", 309, 
"Covent Garden", 277, 
"Cricklewood", 256, 
"Crofton Park", 436, 
"Crossharbour", 426, 
"Crouch Hill", 369, 
"Croxley", 41, 
"Crystal Palace", 315, 
"Custom House for ExCeL", 487, 488,
"Cutty Sark for Maritime Greenwich", 429, 
"Cyprus", 483, 
"Dagenham East", 512, 
"Dagenham Heathway", 511, 
"Dalston Junction", 356, 
"Dalston Kingsland", 360, 
"Dartford", 460, 
"Debden", 567, 
"Denmark Hill", 292, 293
"Deptford", 430, 
"Deptford Bridge", 433, 
"Devons Road", 416, 
"Dollis Hill", 127, 
"Dundonald Road", 183, 
"Ealing Broadway", 16, 
"Ealing Common", 15, 
"Earl's Court", 152, 153
"East Acton", 88, 
"East Croydon", 312, 313, 
"East Finchley", 375, 
"East Ham", 505, 
"East India", 497, 
"East Putney", 159, 
"Eastcote", 0, 
"Edgeware", 261, 
"Edgeware Road", 94, 134, 143, 144
"Edmonton Green", 400, 
"Elephant & Castle", 290, 291
"Elmers End", 452, 
"Elm Park", 513, 
"Elstree & Borehamwood", 263, 
"Elverson Road", 434, 
"Embankment", 222, 223
"Emerson Park", 518, 
"Enfield Town", 398, 
"Epping", 569, 
"Euston", 242, 243, 244, 245
"Euston Square", 0, 
"Fairlop", 557, 
"Fieldway", 445, 
"Finchley Central", 376, 
"Finchley Road", 136, 138
"Finchley Road & Frognal", 137, 253
"Finsbury Park", 366, 367, 
"Forest Gate", 529, 
"Forest Hill", 319, 
"Fulham Broadway", 156, 
"Gallions Reach", 482, 
"Gants Hill", 554, 
"George Street", 306, 
"Gidea Park", 522, 
